Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Red Table Iranian Restaurant,"Khalfan Bin Jamber building, Al Muteena Street, Deira",Dubai,16449,04-2729131,N/A,https://www.yellowpages-uae.com/red-table-restaurant-35716.html,
Red Tomato Pizza Restaurant LLC,Al Barsha,Dubai,450103,04-4470497,N/A,https://www.yellowpages-uae.com/red-tomato-pizza-restaurant-llc-147686.html,
Reef Deira Cafeteria & Restaurant,Al Muteena,Dubai,56277,04-2710103,N/A,https://www.yellowpages-uae.com/reef-deira-cafeteria-restaurant-175218.html,
Reef Demashq Restaurant,"Al Twar , Qusais",Dubai,55505,04-2616336,N/A,https://www.yellowpages-uae.com/reef-demashq-restaurant-68532.html,
Relax @ 12,Al Arabi Street,Abu Dhabi,N/A,02-6545000,N/A,https://www.yellowpages-uae.com/relax-12-175661.html,
Retail & Beyond Commercial Investment LLC,Business Bay,Dubai,9623,04-3699775,N/A,https://www.yellowpages-uae.com/retail-beyond-commercial-investment-llc-151382.html,
Rez Bhaleeb Restaurant,"Behind ADCB Bank, Electra Street",Abu Dhabi,105671,02-6660178,N/A,https://www.yellowpages-uae.com/rez-bhaleeb-restaurant-175526.html,
Rhythm N Bites,Oud Metha,Dubai,126624,04-3583368,N/A,https://www.yellowpages-uae.com/rhythm-n-bites-140895.html,
Rice Overdose,Salama St,Abu Dhabi,N/A,02-6220068,N/A,https://www.yellowpages-uae.com/rice-overdose-175504.html,
Rihan Restaurant,Al Qusais 2,Dubai,N/A,04-2592992,N/A,https://www.yellowpages-uae.com/rihan-restaurant-103520.html,
Rimal Bar,Bani Yas,Abu Dhabi,N/A,02-6596666,N/A,https://www.yellowpages-uae.com/rimal-bar-147578.html,
Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Ritaj Restaurant,Electra St,Abu Dhabi,27034,02-6310036,N/A,https://www.yellowpages-uae.com/ritaj-restaurant-146543.html,
Rite Bite,"Opp Day to Day, Near Post Office, Karama",Dubai,N/A,04-3576306,N/A,https://www.yellowpages-uae.com/rite-bite-68552.html,
Riviera Italian Restaurant,Al Bateen,Abu Dhabi,44044,02-6650144,N/A,https://www.yellowpages-uae.com/riviera-italian-restaurant-118055.html,
Robertos,N/A,Dubai,N/A,04-3860066,N/A,https://www.yellowpages-uae.com/robertos-175646.html,
Robyan Restaurant,"Bhnd Al Mamzar Bldg, Hor Al Anz East, Deira",Dubai,16515,04-2977474,N/A,https://www.yellowpages-uae.com/robyan-restaurant-175205.html,
Rock Bottom - Regent Palace Hotel,"Opp Burjuman Centre, Trade Centre Rd, Karama",Dubai,26816,04-3963888,N/A,https://www.yellowpages-uae.com/rock-bottom-regent-palace-hotel-113971.html,
Rodeo Grill,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979012,N/A,https://www.yellowpages-uae.com/rodeo-grill-175622.html,
Ronda Locatelli,"Crescent Rd, Palm Jumeirah",Dubai,211188,04-4262626,N/A,https://www.yellowpages-uae.com/ronda-locatelli-125572.html,
Rosewater,"Jumeirah Al Etihad Towers, Al Khubeirah",Abu Dhabi,N/A,02-8115555,N/A,https://www.yellowpages-uae.com/rosewater-175718.html,
Rosina Bellina Restaurant,Corniche Road,Abu Dhabi,N/A,02-6390587,N/A,https://www.yellowpages-uae.com/rosina-bellina-restaurant-168560.html,
Rossovivo,"Millenium Tower, Shk Zayed Road",Dubai,N/A,04-3805833,N/A,https://www.yellowpages-uae.com/rossovivo-175774.html,
Royal Foods Restaurant,"Grand Shopping Mall, Al Quoz",Dubai,33716,04-3388977,N/A,https://www.yellowpages-uae.com/royal-foods-restaurant-144433.html,
Royal Kebab Restaurant,"Shop 2, Lake Central Tower, Fakhruddin Properties, Business Bay",Dubai,282947,04-2753096,N/A,https://www.yellowpages-uae.com/royal-kebab-restaurant-153684.html,
Royal Orchid Chinese & Thai Restaurant,Marina Walk,Dubai,114586,04-3674040,N/A,https://www.yellowpages-uae.com/royal-orchid-chinese-thai-restaurant-113545.html,
Royal Rajasthan Restaurant & Cafe,Hamdan Street,Abu Dhabi,72535,02-6353763,N/A,https://www.yellowpages-uae.com/royal-rajasthan-restaurant-cafe-175512.html,
Rozanah Restaurant,Yas Marina,Abu Dhabi,N/A,02-4963411,N/A,https://www.yellowpages-uae.com/rozanah-restaurant-168558.html,
Ruchi Restaurant,Ziyani Area,Abu Dhabi,35980,02-6792679,N/A,https://www.yellowpages-uae.com/ruchi-restaurant-132000.html,
Ruchi Star Restaurant,"Bhnd Arabian Courtyard Hotel, Near Dubai Museum, Bur Dubai",Dubai,234480,04-3525895,N/A,https://www.yellowpages-uae.com/ruchi-star-restaurant-175290.html,
S Cafe,JLT,Dubai,N/A,04-3794044,N/A,https://www.yellowpages-uae.com/s-cafe-175776.html,
Saba Mandi & Madhbi Rest,"Next to Sharjah University, Muweilah",Sharjah,N/A,06-5500816,N/A,https://www.yellowpages-uae.com/saba-mandi-madhbi-rest-175462.html,
Sabir Afghan Restaurant,"318 Road, Near Grand City Mall, Al Quoz",Dubai,N/A,052-4243516,N/A,https://www.yellowpages-uae.com/sabir-afghan-restaurant-175590.html,
Saca Advertising LLC,N/A,Dubai,27680,04-2563531,N/A,https://www.yellowpages-uae.com/saca-advertising-llc-152647.html,
Sacci,N/A,Abu Dhabi,N/A,02-6169999,N/A,https://www.yellowpages-uae.com/sacci-175719.html,
Sadaf,Al Maktoum St,Dubai,N/A,04-2221622,N/A,https://www.yellowpages-uae.com/sadaf-105428.html,
Sadaf Wa Marjan Restaurant LLC,"Bhnd Dubai Islamic Bank, National Paints, Al Muweilah",Sharjah,N/A,06-5356030,N/A,https://www.yellowpages-uae.com/sadaf-wa-marjan-restaurant-llc-146560.html,
Safari Bruasted Chicken & Refreshment,"Near Dana Hotel, TCA",Abu Dhabi,N/A,02-6450003,N/A,https://www.yellowpages-uae.com/safari-bruasted-chicken-refreshment-131680.html,
Safeer Al Mandi,"Jamal Abdul Naser Rd, Al Majaz",Sharjah,N/A,06-5444225,N/A,https://www.yellowpages-uae.com/safeer-al-mandi-147688.html,
Safire Restaurant,"Near UAE Exchange, Rolla Sq",Sharjah,20256,06-5614393,N/A,https://www.yellowpages-uae.com/safire-restaurant-112392.html,
Sagar Calicut,"Near Al Ansari Exchange, Al Arooba St",Sharjah,67993,06-5639781,N/A,https://www.yellowpages-uae.com/sagar-calicut-68586.html,
Sagar City Restaurant,Abu Shagara,Sharjah,N/A,06-5595660,N/A,https://www.yellowpages-uae.com/sagar-city-restaurant-147203.html,
Sagar Deluxe Restaurant LLC,Hor Al Anz,Dubai,N/A,04-2963738,N/A,https://www.yellowpages-uae.com/sagar-deluxe-restaurant-llc-148308.html,
Sagar Restaurant,Passport Rd,Abu Dhabi,N/A,02-6413690,N/A,https://www.yellowpages-uae.com/sagar-restaurant-145536.html,
Sager Deira Restaurant LLC,Hor Al Anz,Dubai,82041,04-2681268,N/A,https://www.yellowpages-uae.com/sager-deira-restaurant-llc-146793.html,
Sai Dham Restaurant,Karama,Dubai,28146,04-3358788,N/A,https://www.yellowpages-uae.com/sai-dham-restaurant-141795.html,
Saif Al Jazeera Restaurant,"Frij Murar, Deira",Dubai,89051,04-2710532,N/A,https://www.yellowpages-uae.com/saif-al-jazeera-restaurant-131057.html,
Salaam Namaste Restaurant,"Meena Bazar, Bur Dubai",Dubai,241473,04-3256144,N/A,https://www.yellowpages-uae.com/salaam-namaste-restaurant-175292.html,
Salat Al Makolat Restaurant,"Behind National Hospital, Najda Street",Abu Dhabi,N/A,02-6749901,N/A,https://www.yellowpages-uae.com/salat-al-makolat-restaurant-175576.html,
Saleh Bin Lahej Group,Garhoud,Dubai,1443,04-2828188,N/A,https://www.yellowpages-uae.com/saleh-bin-lahej-group-118062.html,
Salem Saif Restaurant,N/A,Jebel Ali,N/A,04-8523951,N/A,https://www.yellowpages-uae.com/salem-saif-restaurant-101182.html,
Salero,"Kempenski Hotel, Shk Zayed Road",Dubai,N/A,04-4095888,N/A,https://www.yellowpages-uae.com/salero-175775.html,
Salim Ali Salim Restaurant,Al Dagaya Street,Dubai,N/A,04-2261383,N/A,https://www.yellowpages-uae.com/salim-ali-salim-restaurant-101163.html,
Sama Al Akawi Restaurant,N/A,Abu Dhabi,N/A,052-2610444,N/A,https://www.yellowpages-uae.com/sama-al-akawi-restaurant-175511.html,
Sama Al Khaleej Pastry,Al Nahda 2,Dubai,N/A,04-2390916,N/A,https://www.yellowpages-uae.com/sama-al-khaleej-pastry-175228.html,
Samakmk Restaurant,"Al Qasimiya St, Al Ghubaiba",Sharjah,N/A,06-5676703,N/A,https://www.yellowpages-uae.com/samakmk-restaurant-147326.html,
Samiramis Cafeteria,"Near Al Sahaba Mosque, TCA",Abu Dhabi,N/A,02-6459034,N/A,https://www.yellowpages-uae.com/samiramis-cafeteria-175494.html,
Samurai Japanese Restaurant,Meena Rd,Abu Dhabi,5133,02-6766612,N/A,https://www.yellowpages-uae.com/samurai-japanese-restaurant-118744.html,
Sanaya Al Thoufeeque Rest,Mussafah,Abu Dhabi,8375,02-5559923,N/A,https://www.yellowpages-uae.com/sanaya-al-thoufeeque-rest-126030.html,
Sandwichy,"One Omniyat Tower, Business Bay",Dubai,N/A,800245245,N/A,https://www.yellowpages-uae.com/sandwichy-175303.html,
Sangeet Indian Multicuisine Restaurant,Al Qusais,Dubai,125981,04-2592433,N/A,https://www.yellowpages-uae.com/sangeet-indian-multicuisine-restaurant-103524.html,
Sangeeta Veg Restaurant,Karama,Dubai,4893,04-3367111,N/A,https://www.yellowpages-uae.com/sangeeta-veg-restaurant-133361.html,
Sangeetha Vegetarian Restaurant LLC,Karama,Dubai,N/A,04-3367111,N/A,https://www.yellowpages-uae.com/sangeetha-vegetarian-restaurant-llc-108479.html,
Sanman Restaurant,Qusais,Dubai,20249,04-2613415,N/A,https://www.yellowpages-uae.com/sanman-restaurant-143859.html,
Saraya Palace Restaurant,Khalidiya,Abu Dhabi,32002,02-6662288,N/A,https://www.yellowpages-uae.com/saraya-palace-restaurant-145703.html,
Sardina Seafood Restaurant,"Reem Mall, Jumairah Road, Jumairah 3",Dubai,333327,04-3390444,N/A,https://www.yellowpages-uae.com/sardina-seafood-restaurant-173430.html,
Sardinia,Al Mushrif,Abu Dhabi,N/A,02-6577640,N/A,https://www.yellowpages-uae.com/sardinia-175720.html,
Sarhad Darbar General Trading,N/A,Dubai,91753,04-2565394,N/A,https://www.yellowpages-uae.com/sarhad-darbar-general-trading-158845.html,
Sarhad Darbar Restaurants LLC,Al Aweer,Dubai,94637,04-2363114,N/A,https://www.yellowpages-uae.com/sarhad-darbar-restaurants-llc-143417.html,
Satwa Palace Restaurant,Satwa Road,Dubai,N/A,04-3422070,N/A,https://www.yellowpages-uae.com/satwa-palace-restaurant-142376.html,
Savage Garden - Capitol Hotel,"Al Mina Rd, Bur Dubai",Dubai,33228,04-3460111,N/A,https://www.yellowpages-uae.com/savage-garden-capitol-hotel-134821.html,
Sax Restaurant Club,Khalifa St,Abu Dhabi,44489,02-6741286,N/A,https://www.yellowpages-uae.com/sax-restaurant-club-131634.html,
Sayad Bahar Restaurant,Al Garhoud,Dubai,N/A,04-2288003,N/A,https://www.yellowpages-uae.com/sayad-bahar-restaurant-175537.html,
Sayad Seafood,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,N/A,02-6907999,N/A,https://www.yellowpages-uae.com/sayad-seafood-175740.html,
Scantic Restaurant,"Near Bus Station, Satwa",Dubai,24611,04-3492162,N/A,https://www.yellowpages-uae.com/scantic-restaurant-125036.html,
Sea Mood Restaurant,"Mankhool Road, Satwa",Dubai,N/A,04-3857977,N/A,https://www.yellowpages-uae.com/sea-mood-restaurant-175777.html,
Sea Mood Restaurant,"Mankhool Rd, Diyafa",Dubai,N/A,04-3857977,N/A,https://www.yellowpages-uae.com/sea-mood-restaurant-148173.html,
Sea Shell Cafeteria,"Near Emarat, Garhoud Bridge Aree, Garhoud",Dubai,N/A,04-3244334,N/A,https://www.yellowpages-uae.com/sea-shell-cafeteria-175212.html,
Sea Shell LLC,N/A,Abu Dhabi,N/A,02-6215234,N/A,https://www.yellowpages-uae.com/sea-shell-llc-145704.html,
Sea View Restaurant,Jumeirah Rd,Dubai,11449,04-3335552,N/A,https://www.yellowpages-uae.com/sea-view-restaurant-164164.html,
Sealand Restaurant,"Bhnd UAE Exchange Centre, Rolla",Sharjah,60522,06-5612020,N/A,https://www.yellowpages-uae.com/sealand-restaurant-137781.html,
Seazen Foodpoint Restaurant,N/A,Abu Dhabi,N/A,02-6264191,N/A,https://www.yellowpages-uae.com/seazen-foodpoint-restaurant-175528.html,
Segafredo Zanetti Espresso,Ibn Batuta Mall,Dubai,23684,04-3243757,N/A,https://www.yellowpages-uae.com/segafredo-zanetti-espresso-132050.html,
Select Restaurant & Cafeteria,Electra St,Abu Dhabi,N/A,02-6330068,N/A,https://www.yellowpages-uae.com/select-restaurant-cafeteria-145676.html,
Seven Emirates Restaurant,N/A,Abu Dhabi,N/A,02-5524125,N/A,https://www.yellowpages-uae.com/seven-emirates-restaurant-146544.html,
Sevilla Restaurant,N/A,Abu Dhabi,N/A,02-5080555,N/A,https://www.yellowpages-uae.com/sevilla-restaurant-142536.html,
Sevilos,Khalifa Str,Abu Dhabi,N/A,02-6146000,N/A,https://www.yellowpages-uae.com/sevilos-143302.html,
Shabab Al Tybeen Cafeteria,"Behind Honda Showroom, Electra Street",Abu Dhabi,N/A,02-6745277,N/A,https://www.yellowpages-uae.com/shabab-al-tybeen-cafeteria-175519.html,
Shabiyat Al Toufeeq Refreshments,Mussafah,Abu Dhabi,N/A,02-5527176,N/A,https://www.yellowpages-uae.com/shabiyat-al-toufeeq-refreshments-146545.html,
Shahab Restaurant,"Bldg, 28, Near Eppco Pump, Al Qusais Indl Area 4",Dubai,N/A,04-2838007,N/A,https://www.yellowpages-uae.com/shahab-restaurant-147692.html,
Shahariyar Restaurant,"Nakheel Road, Deira",Dubai,N/A,04-2212797,N/A,https://www.yellowpages-uae.com/shahariyar-restaurant-142525.html,
Shahi Daawat,Bur Dubai,Dubai,N/A,058-8401212,N/A,https://www.yellowpages-uae.com/shahi-daawat-175312.html,
Shahi Mughal Restaurant,"Beside Muncipality office, Satwa",Dubai,N/A,04-3440051,N/A,https://www.yellowpages-uae.com/shahi-mughal-restaurant-175315.html,
Shahi Tandoor,"Zabeel Road, Karama",Dubai,N/A,04-3583583,N/A,https://www.yellowpages-uae.com/shahi-tandoor-67451.html,
Shaikh Al Mandi Restaurant,Al Barsha 1,Dubai,N/A,04-3929932,N/A,https://www.yellowpages-uae.com/shaikh-al-mandi-restaurant-68546.html,
Shakespeare And Co,N/A,Jebel Ali,N/A,04-8854330,N/A,https://www.yellowpages-uae.com/shakespeare-and-co-145285.html,
Shaklan Restaurant,"Mubarak Al Jafla W/H, Street 12 , Al Quoz Indl Area 2",Dubai,N/A,04-3285533,N/A,https://www.yellowpages-uae.com/shaklan-restaurant-143790.html,
Shako Mako,"Beach Road, Jumeirah 3",Dubai,75232,04-3444007,N/A,https://www.yellowpages-uae.com/shako-mako-175569.html,
Sham Alsehhi Restaurant,"Damascus St, Al Qusais",Dubai,48636,04-2511155,N/A,https://www.yellowpages-uae.com/sham-alsehhi-restaurant-175325.html,
Shamiana,Sahara Center,Sharjah,N/A,06-5395930,N/A,https://www.yellowpages-uae.com/shamiana-107677.html,
Shams Al Aseel Cafeteria,Satwa,Dubai,N/A,04-3329505,N/A,https://www.yellowpages-uae.com/shams-al-aseel-cafeteria-145343.html,
Shams Al Batheen Restaurant,Al Qusais,Dubai,79328,04-2672204,N/A,https://www.yellowpages-uae.com/shams-al-batheen-restaurant-117846.html,
Shams Restaurant,Khalidiya,Abu Dhabi,29128,02-6210176,N/A,https://www.yellowpages-uae.com/shams-restaurant-134374.html,
Shanghai Station,Oud Metha,Dubai,N/A,04-3966559,N/A,https://www.yellowpages-uae.com/shanghai-station-175210.html,
Sharafuddin Restaurant,"China H-03, Dubai International City",Dubai,N/A,04-4475278,N/A,https://www.yellowpages-uae.com/sharafuddin-restaurant-145537.html,
Sharafudheen Restaurant,Al Quoz Industrial Area 3,Dubai,N/A,04-3468448,N/A,https://www.yellowpages-uae.com/sharafudheen-restaurant-142697.html,
Sharjah Club Cafeteria,Near Cricket Stadium,Sharjah,N/A,06-5431717,N/A,https://www.yellowpages-uae.com/sharjah-club-cafeteria-147387.html,
Shatee Restaurant,"Bhnd Citymax Hotel, Al Wahda St",Sharjah,N/A,06-5556070,N/A,https://www.yellowpages-uae.com/shatee-restaurant-175372.html,
Shater Grill House Restaurant,"Near Madina Mall, Dubai",Dubai,N/A,04-3415660,N/A,https://www.yellowpages-uae.com/shater-grill-house-restaurant-175299.html,
Shatir Hassan Restaurant,Al Falah St,Abu Dhabi,46539,02-6416616,N/A,https://www.yellowpages-uae.com/shatir-hassan-restaurant-129158.html,
Shaukath Restaurant,Bhnd of Karama Hotel,Dubai,N/A,04-3352526,N/A,https://www.yellowpages-uae.com/shaukath-restaurant-142911.html,
Shawarma Time,Najda St,Abu Dhabi,37942,02-6336633,N/A,https://www.yellowpages-uae.com/shawarma-time-164777.html,
Shawarmaji,Al Barsha,Dubai,N/A,04-4521717,N/A,https://www.yellowpages-uae.com/shawarmaji-175356.html,
Sheeshan Restaurant,"Frij Murar, Deira",Dubai,N/A,04-2730147,N/A,https://www.yellowpages-uae.com/sheeshan-restaurant-142365.html,
Sher-E-Punjab Restaurant,"Oman St, Al Nakheel",Ras Al Khaimah,812,07-2221572,N/A,https://www.yellowpages-uae.com/sher-e-punjab-restaurant-113510.html,
Shibam Hadarmout Restaurant,"Near Habtoor Auto Centre, Deira",Dubai,236177,04-2666024,N/A,https://www.yellowpages-uae.com/shibam-hadarmout-restaurant-161891.html,
Shish Shawerma Restaurant Est,Corniche Rd,Abu Dhabi,38107,02-6505576,N/A,https://www.yellowpages-uae.com/shish-shawerma-restaurant-est-164785.html,
Shiv Sagar Restaurant LLC,"Meena Bazaar, Bur Dubai",Dubai,43527,04-3522020,N/A,https://www.yellowpages-uae.com/shiv-sagar-restaurant-llc-118080.html,
Shoukath Restaurant,Karama,Dubai,23050,04-3352526,N/A,https://www.yellowpages-uae.com/shoukath-restaurant-144272.html,
Sigddi Restaurant LLC,"Besides Baby Shop, Al Zabel Rd, Karama",Dubai,184061,04-3548978,N/A,https://www.yellowpages-uae.com/sigddi-restaurant-llc-143237.html,
Simran's Appa Kadai,Discovery Gardens,Dubai,N/A,04-3348030,N/A,https://www.yellowpages-uae.com/simran-s-appa-kadai-149929.html,
Sind Darbar Restaurant,"Al Muteena Rd, Deira",Dubai,N/A,04-2727934,N/A,https://www.yellowpages-uae.com/sind-darbar-restaurant-175256.html,
Sindh Shahbaz Restaurant,"Opp Abdullah Bin Abbas Mosque, King Faisal St",Sharjah,N/A,06-5744104,N/A,https://www.yellowpages-uae.com/sindh-shahbaz-restaurant-68479.html,
Singapore Deli,"Behind Pizza Hut, Opposite Burjuman Centre, Al Karama",Dubai,49612,04-3966885,N/A,https://www.yellowpages-uae.com/singapore-deli-129262.html,
Sinugba ng Cucina Filipino Restaurant,"Amman Rd, Al Nahda 2",Dubai,N/A,04-2637482,N/A,https://www.yellowpages-uae.com/sinugba-ng-cucina-filipino-restaurant-175237.html,
Sivestar Bhavan Restaurant,Bur Dubai,Dubai,N/A,04-3979481,N/A,https://www.yellowpages-uae.com/sivestar-bhavan-restaurant-143791.html,
Skye & Walker,Al Rigga,Dubai,N/A,04-2131221,N/A,https://www.yellowpages-uae.com/skye-walker-175778.html,
Slider Station,Al Wasl Road,Dubai,N/A,600 544005,N/A,https://www.yellowpages-uae.com/slider-station-175779.html,
Smiling BKK,"Shop 1, Block 1, Wasl Square, Opposite Safa Park, Al Wasl Road, Al Safa",Dubai,N/A,04-3884411,N/A,https://www.yellowpages-uae.com/smiling-bkk-173550.html,
Sonia Company LLC,Rashidiya,Dubai,52546,04-2863660,N/A,https://www.yellowpages-uae.com/sonia-company-llc-129747.html,
Sontaya,Saadiyat Island,Abu Dhabi,N/A,02-4988888,N/A,https://www.yellowpages-uae.com/sontaya-175721.html,
Sophies Cafe,Jumeirah,Dubai,N/A,04-4515982,N/A,https://www.yellowpages-uae.com/sophies-cafe-175780.html,
Soy Express,Mussafah,Abu Dhabi,N/A,02-5508900,N/A,https://www.yellowpages-uae.com/soy-express-147050.html,
Soyumm,"Lamcy Plaza, Karama",Dubai,N/A,04-3584584,N/A,https://www.yellowpages-uae.com/soyumm-67460.html,
Spaccanapoli,"Crown Plaza, Al Markaziyah",Abu Dhabi,N/A,02-6166261,N/A,https://www.yellowpages-uae.com/spaccanapoli-175722.html,
Special Group of Rest and Catering Services,Khalidiya St,Abu Dhabi,52100,02-6665512,N/A,https://www.yellowpages-uae.com/special-group-of-rest-and-catering-services-133262.html,
Special Restaurant,N/A,Abu Dhabi,52100,02-6665512,N/A,https://www.yellowpages-uae.com/special-restaurant-146033.html,
Spectrum Restaurant,Backside of Deira Towers,Dubai,N/A,04-2266103,N/A,https://www.yellowpages-uae.com/spectrum-restaurant-142526.html,
Spice By Qureshi,"Ground floor, Ramada Chelsea Hotel, Al Barsha",Dubai,N/A,04-5019000,N/A,https://www.yellowpages-uae.com/spice-by-qureshi-143838.html,
Spice Sense Restaurants,"406, Sobha Ivory 2, Business Bay",Dubai,N/A,04-5514134,N/A,https://www.yellowpages-uae.com/spice-sense-restaurants-169456.html,
SpiceKlub,"Opposite Aster Hospital, Near Sharaf DG, Kuwait Street, Mankhool",Dubai,N/A,04-4489590,N/A,https://www.yellowpages-uae.com/spiceklub-173554.html,
Spicy Thali Restaurant,Nuaimiyah,Ajman,N/A,06-7419876,N/A,https://www.yellowpages-uae.com/spicy-thali-restaurant-142677.html,
Spicyland Restaurant,"Bhnd Choitram S/M, Abu Shagara",Sharjah,N/A,06-5554515,N/A,https://www.yellowpages-uae.com/spicyland-restaurant-146665.html,
Sports Star Restaurant & Cafe LLC,"Al Talal Building, Bhnd Sahara Centre, Al Nahda",Dubai,N/A,04-2669277,N/A,https://www.yellowpages-uae.com/sports-star-restaurant-cafe-llc-175288.html,
Spring Onion Restaurant,"Silver Tower, Business Bay",Dubai,N/A,055-3151234,N/A,https://www.yellowpages-uae.com/spring-onion-restaurant-175335.html,
Square Table Restaurant,"Opp Centrepoint, Bhnd Pizzahut, Karama",Dubai,N/A,04-3977223,N/A,https://www.yellowpages-uae.com/square-table-restaurant-175270.html,
Stables Bar & Restaurant,"Near Farimont Hotel, Shk Zayed Road",Dubai,N/A,04-3425571,N/A,https://www.yellowpages-uae.com/stables-bar-restaurant-175781.html,
Stand View Restaurant LLC,N/A,Dubai,N/A,04-2238038,N/A,https://www.yellowpages-uae.com/stand-view-restaurant-llc-142912.html,
Star Restaurant and Mini Market,"Near Main Gate, Jebel Ali Free Zone",Jebel Ali,16837,04-8818522,N/A,https://www.yellowpages-uae.com/star-restaurant-and-mini-market-123917.html,
Starbucks Coffee,Deira City Centre,Dubai,1277,04-2948442,N/A,https://www.yellowpages-uae.com/starbucks-coffee-116158.html,
Stars N Bars,"Yas Marina, Yas Island",Abu Dhabi,N/A,02-5650101,N/A,https://www.yellowpages-uae.com/stars-n-bars-175723.html,
Sterling Caravan,Garhoud,Dubai,3929,04-2947771,N/A,https://www.yellowpages-uae.com/sterling-caravan-67150.html,
Stills,"Crown Plaza, Yas Island",Abu Dhabi,N/A,02-6563066,N/A,https://www.yellowpages-uae.com/stills-175724.html,
Stone Fire Pizza Kitchen,Near Real Cinemas. The Dubai Mall,Dubai,N/A,04-3308152,N/A,https://www.yellowpages-uae.com/stone-fire-pizza-kitchen-67464.html,
Stratos,Al Markaziyah,Abu Dhabi,N/A,800 101101,N/A,https://www.yellowpages-uae.com/stratos-175741.html,
Subah Hotel Management Services LLC,Mina Rd,Abu Dhabi,48324,02-6723321,N/A,https://www.yellowpages-uae.com/subah-hotel-management-services-llc-140118.html,
Subhiksha Restaurant,Hamdan St,Abu Dhabi,N/A,02-6760675,N/A,https://www.yellowpages-uae.com/subhiksha-restaurant-147725.html,
Sublime Lounge,"Ibis Hotel, 2nd Zabeel Road",Dubai,N/A,04-3187130,N/A,https://www.yellowpages-uae.com/sublime-lounge-67465.html,
Subway,"Blk 7, Food Court, Knowledge Village",Dubai,502936,04-3644545,N/A,https://www.yellowpages-uae.com/subway-131293.html,
Subway,"Times Square Centre, Sh zayed road",Dubai,N/A,04-3418808,N/A,https://www.yellowpages-uae.com/subway-68593.html,
"Subway, The",Jumeira Lake Tower,Dubai,27888,04-4327999,N/A,https://www.yellowpages-uae.com/subway-the-130056.html,
SucreSale,Jumeira Lake Tower,Dubai,N/A,04-4484648,N/A,https://www.yellowpages-uae.com/sucresale-103625.html,
Sugar Box,"418 University City Rd, Ind Area 13",Dubai,N/A,04-3446084,N/A,https://www.yellowpages-uae.com/dubai-sugar-box-67467.html,
Sugar Factory,"Shop MW 18, Festival City Mall",Dubai,N/A,04-2843456,N/A,https://www.yellowpages-uae.com/sugar-factory-176385.html,
Sugoi,"2nd Floor Dubai Mall Food Court, Downtown Burj Khalifa",Dubai,52546,04-4340755,N/A,https://www.yellowpages-uae.com/sugoi-62654.html,
Sukh Sagar at the Beach,N/A,Dubai,N/A,04-4370188,N/A,https://www.yellowpages-uae.com/sukh-sagar-at-the-beach-67799.html,
Sukh Sagar LLC,"Near Park Regis Kris Kin Hotel, Kuwait Street, Al Karama",Dubai,52119,04-3967222,N/A,https://www.yellowpages-uae.com/sukh-sagar-llc-130754.html,
Sultan Palace Restaurant,"opposite Zabeel Park, Near Karama Fish Market, Karama",Dubai,N/A,04-3709377,N/A,https://www.yellowpages-uae.com/sultan-palace-restaurant-67468.html,
Sultana Restaurant,Muroor Rd,Abu Dhabi,95526,02-4482343,N/A,https://www.yellowpages-uae.com/sultana-restaurant-125396.html,
Sum of Us,"Trade Cntre 1, Shk Zayed Road",Dubai,N/A,056-4457526,N/A,https://www.yellowpages-uae.com/sum-of-us-175782.html,
Sumaya Restaurant,"Near Sharjah Cinema, Al Marija St",Sharjah,28405,06-5681823,N/A,https://www.yellowpages-uae.com/sumaya-restaurant-135721.html,
Sumibiya,"Baniyas Rd, Deira",Dubai,476,04-2057033,N/A,https://www.yellowpages-uae.com/sumibiya-142724.html,
Summerland Motel,"Opp Sharjah Grand Hotel, Port Khalid, Al Khan",Sharjah,6006,06-5281321,N/A,https://www.yellowpages-uae.com/summerland-motel-135656.html,
Sumo Salad,"Dubai Mall Food Court, Downtown Burj Khalifa",Dubai,523,04-3308063,N/A,https://www.yellowpages-uae.com/sumo-salad-62656.html,
Sumo Sushi & Bento,"Ground Floor, Building # 10, BBC Building, Dubai Media City",Dubai,57360,04-3911041,N/A,https://www.yellowpages-uae.com/sumo-sushi-bento-110857.html,
Sunlight Restaurant,Hamdan St,Abu Dhabi,26438,02-6321566,N/A,https://www.yellowpages-uae.com/sunlight-restaurant-126815.html,
Super Kabab Iranian Restaurant,"Al Khaleej Rd, Abu Hail",Dubai,N/A,04-2685685,N/A,https://www.yellowpages-uae.com/super-kabab-iranian-restaurant-175232.html,
Super Seven Seas Restaurants,Bur Dubai,Dubai,45863,04-3932112,N/A,https://www.yellowpages-uae.com/super-seven-seas-restaurants-117719.html,
Surf Cafe Dubai,Jumeirah Beach Road,Dubai,N/A,04-3466292,N/A,https://www.yellowpages-uae.com/surf-cafe-dubai-175783.html,
Surya Restaurant,Qusais,Dubai,N/A,04-2678080,N/A,https://www.yellowpages-uae.com/surya-restaurant-144090.html,
Susana Restaurant,Karama,Dubai,26195,04-3575838,N/A,https://www.yellowpages-uae.com/susana-restaurant-158786.html,
